Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index)
east_region_dissolv_dissolve_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),378923,429071,431193
east_region_dissolv_dissolve_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),5612,429071,727367
east_region_dissolv_dissolve_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),2387,429071,354063
east_region_dissolv_dissolve_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),12139,429071,726219
east_region_dissolv_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),3464,429071,603152
east_region_dissolv_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),2526,429071,735771
northcenter_region_dissolve_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),7426,730529,431193
northcenter_region_dissolve_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),478403,730529,727367
northcenter_region_dissolve_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),20401,730529,354063
northcenter_region_dissolve_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),66354,730529,726219
northcenter_region_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),15435,730529,603152
northcenter_region_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),71306,730529,735771
north_region_dissolve_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),3117,353868,431193
north_region_dissolve_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),17735,353868,727367
north_region_dissolve_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),286806,353868,354063
north_region_dissolve_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),5779,353868,726219
north_region_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),1916,353868,603152
north_region_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),7805,353868,735771
southcenter_region_dissolve1_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),12250,736591,431193
southcenter_region_dissolve1_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),68876,736591,727367
southcenter_region_dissolve1_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),5841,736591,354063
southcenter_region_dissolve1_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),447197,736591,726219
southcenter_region_dissolve1_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),53121,736591,603152
southcenter_region_dissolve1_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),53581,736591,735771
south_region_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),3665,608021,431193
south_region_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),15874,608021,727367
south_region_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),2072,608021,354063
south_region_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),51919,608021,726219
south_region_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),466911,608021,603152
south_region_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),12387,608021,735771
west_region_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),3136,739716,431193
west_region_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),71949,739716,727367
west_region_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),7534,739716,354063
west_region_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),53139,739716,726219
west_region_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),11992,739716,603152
west_region_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),441787,739716,735771
east_region_dissolv_dissolve_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),49463,228380,220861
east_region_dissolv_dissolve_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),28965,228380,1528238
east_region_dissolv_dissolve_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),2039,228380,568889
east_region_dissolv_dissolve_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),17725,228380,722938
east_region_dissolv_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),2059,228380,161217
east_region_dissolv_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),9247,228380,886256
northcenter_region_dissolve_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),34658,1514571,220861
northcenter_region_dissolve_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),710214,1514571,1528238
northcenter_region_dissolve_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),74762,1514571,568889
northcenter_region_dissolve_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),135591,1514571,722938
northcenter_region_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),26424,1514571,161217
northcenter_region_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),174176,1514571,886256
north_region_dissolve_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),3106,617964,220861
north_region_dissolve_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),79157,617964,1528238
north_region_dissolve_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),169482,617964,568889
north_region_dissolve_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),30400,617964,722938
north_region_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),5203,617964,161217
north_region_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),37864,617964,886256
southcenter_region_dissolve1_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),19449,697942,220861
southcenter_region_dissolve1_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),131098,697942,1528238
southcenter_region_dissolve1_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),21821,697942,568889
southcenter_region_dissolve1_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),210939,697942,722938
southcenter_region_dissolve1_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),35480,697942,161217
southcenter_region_dissolve1_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),88588,697942,886256
south_region_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),2952,165093,220861
south_region_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),30406,165093,1528238
south_region_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),5307,165093,568889
south_region_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),33917,165093,722938
south_region_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),46357,165093,161217
south_region_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),11591,165093,886256
west_region_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),12201,898320,220861
west_region_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),188610,898320,1528238
west_region_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),30129,898320,568889
west_region_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),92566,898320,722938
west_region_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),10764,898320,161217
west_region_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),282222,898320,886256
